PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-02-09,17:26:43.72,1,1,"Wright, Jakob",1000114562,Left,CAL_MUS,"Steels, Jacob",1000117532,Right,CAL_MUS,Undefined,1,Top,0,0,0,Slider,Slider,BallinDirt,Undefined,Undefined,Undefined,0,0,,82.06371,1.441097,0.246015,2905.406616,268.707076,3:00,5.45161,-1.6266,5.14359,-41.3249,2.04036,21.57167,3.36507,0.40268,74.03714,-6.123745,4.063718,0.473961,,,,,,,,,,,,-10.60607,1.01366,1.58631,50,5.55511,-1.44684,-118.88955,1.48658,-14.91466,26.51412,-30.74859,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240209-BaggettStadium-Private-1,747a4e70-c7b3-11ee-a3cd-abf24b36725c,79.52651,,,8.02657,,,,,,,6271268d-9463-439a-bf36-6001530b62df,2024-02-10,01:26:43.72,2024-02-09T17:26:43.7290862-08:00,2024-02-10T01:26:43.7290862Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,5c2e247f-8134-47ef-9665-0ce2f3403010,55.35581,-120.07803,13.25706,5.45759,2.86487,-15.3743,1.63617,-0.7783,-7.45733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-02-09,17:27:00.19,1,2,"Wright, Jakob",1000114562,Left,CAL_MUS,"Steels, Jacob",1000117532,Right,CAL_MUS,Undefined,1,Top,0,1,0,FourSeamFastBall,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,92.92463,-2.184536,1.879707,2495.106464,142.283561,10:45,5.45693,-1.54893,5.61457,-15.16304,17.62017,-12.7993,2.15232,-0.86048,84.75895,-5.062144,-0.404783,0.412095,103.34794,2.635796,-4.884308,1789.180195,,,,66.02731,59.14072,-4.501935,0.449804,7.05083,9.88296,1.39693,50,5.26067,-3.84789,-134.79869,-5.62413,12.94883,29.8179,-14.02399,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240209-BaggettStadium-Private-1,7e474f20-c7b3-11ee-a3cd-abf24b36725c,91.46544,2.58215,,8.16568,,,,1.90193,2.13905,0.85659,6271268d-9463-439a-bf36-6001530b62df,2024-02-10,01:27:00.19,2024-02-09T17:27:00.1965934-08:00,2024-02-10T01:27:00.1965934Z,GroundBall,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,96930c46-b735-4600-aa65-a23031888f74,54.88633,-135.87526,14.90895,5.45459,-5.11779,-7.01199,1.54429,-4.31541,6.47441,16.380978,1.91062,150.60863,-18.97828,,,,,,,2.15494,6.49688,-25.16927,,,,,,,0.85889,-12.96089,-1.05696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2024-02-09,17:27:36.04,2,1,"Wright, Jakob",1000114562,Left,CAL_MUS,"Fenn, Ryan",809917,Right,CAL_MUS,Undefined,1,Top,0,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.48197,0.216251,0.796616,2927.92009,275.573783,3:15,5.45665,-1.70303,5.06505,-45.98754,-0.75598,24.25958,1.82829,1.06981,72.95935,-8.134977,5.087155,0.484052,,,,,,,,,,,,-11.79072,0.01323,1.60716,50,5.44095,-2.64711,-116.63449,-1.2297,-15.93488,25.80263,-32.15617,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240209-BaggettStadium-Private-1,93aa0290-c7b3-11ee-a3cd-abf24b36725c,77.86854,,,7.52262,,,,,,,6271268d-9463-439a-bf36-6001530b62df,2024-02-10,01:27:36.04,2024-02-09T17:27:36.0431470-08:00,2024-02-10T01:27:36.0431470Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,a970c811-24da-4313-b40a-e2bc58c37b6b,55.43606,-117.83095,12.90132,5.46341,0.26137,-16.07808,1.71278,-1.90822,-7.96744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-02-09,17:27:52.25,2,2,"Wright, Jakob",1000114562,Left,CAL_MUS,"Fenn, Ryan",809917,Right,CAL_MUS,Undefined,1,Top,0,0,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.42685,0.194529,0.668474,2862.486837,267.27068,3:00,5.34617,-1.71979,5.11686,-42.434,2.67433,22.77611,1.99328,0.80797,72.94621,-7.541552,4.699409,0.483392,,,,,,,,,,,,-11.15068,1.70677,1.63819,50,5.33168,-2.31089,-116.58097,-1.11157,-15.0916,25.30647,-29.86403,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240209-BaggettStadium-Private-1,9d526440-c7b3-11ee-a3cd-abf24b36725c,77.97482,,,7.48064,,,,,,,6271268d-9463-439a-bf36-6001530b62df,2024-02-10,01:27:52.25,2024-02-09T17:27:52.2571118-08:00,2024-02-10T01:27:52.2571118Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,81628c86-b56a-436f-a88f-8cfda363daee,55.38401,-117.74389,12.65324,5.35122,0.26078,-14.93202,1.72844,-1.61738,-7.5458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-02-09,17:28:08.98,2,3,"Wright, Jakob",1000114562,Left,CAL_MUS,"Fenn, Ryan",809917,Right,CAL_MUS,Undefined,1,Top,0,0,2,FourSeamFastBall,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,93.44879,-2.194984,2.407512,2514.622624,145.326916,10:45,5.444,-1.46125,5.51903,-15.99044,16.62245,-10.74926,2.05629,-0.10463,85.0867,-5.216459,0.493292,0.411023,69.17272,24.585353,143.088871,3208.180307,,,,,58.16363,,,6.12555,9.34745,1.25894,50,5.2422,-5.19745,-135.45126,-5.72219,11.34333,30.48243,-14.86444,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240209-BaggettStadium-Private-1,a7445210-c7b3-11ee-a3cd-abf24b36725c,91.70397,19.02357,,8.3621,,,,1.24622,1.93319,0.04842,6271268d-9463-439a-bf36-6001530b62df,2024-02-10,01:28:08.98,2024-02-09T17:28:08.9891182-08:00,2024-02-10T01:28:08.9891182Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,152dae94-cb69-457d-86c7-4b77b875481f,54.98087,-136.56757,15.24121,5.44179,-5.17783,-7.43222,1.45688,-5.61286,5.67166,336.126732,1.24622,-73.76468,3.62974,0.12596,-0.07253,0.03774,-0.00858,0.00086,5E-05,1.93319,42.20942,-27.12093,3.50844,-0.72482,0.15269,-0.02468,0.00507,-0.00087,0.04842,55.4065,-6.68971,-0.28832,0.14916,-0.07522,0.01896,-0.00376,0.00066,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2024-02-09,17:28:27.80,2,4,"Wright, Jakob",1000114562,Left,CAL_MUS,"Fenn, Ryan",809917,Right,CAL_MUS,Undefined,1,Top,0,0,2,TwoSeamFastBall,Changeup,InPlay,Undefined,GroundBall,Single,0,0,,86.8414,-2.190067,2.284502,1821.869014,112.040756,9:45,5.41184,-1.46997,5.3854,-30.39151,8.54532,-17.17363,0.82372,-0.75859,77.47158,-7.824587,-0.771651,0.449109,86.37771,11.00554,-10.887807,1161.495625,107.8892,12.88694,-21.44481,200.57211,200.57211,-12.251022,2.009315,9.52615,5.52189,1.27844,50,5.19482,-4.25485,-125.53408,-5.87698,14.73614,32.65365,-23.63212,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240209-BaggettStadium-Private-1,b2810f60-c7b3-11ee-a3cd-abf24b36725c,83.92715,12.887,,9.36981,,,,2.65867,0.95186,0.74688,6271268d-9463-439a-bf36-6001530b62df,2024-02-10,01:28:27.80,2024-02-09T17:28:27.8006126-08:00,2024-02-10T01:28:27.8006126Z,LineDrive,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,2ffe3aef-a191-4275-919a-855fb15d69a8,55.11281,-126.85704,16.32682,5.41353,-4.91953,-11.81606,1.46291,-4.85188,7.36807,160.653182,2.65866,122.11918,-19.10767,4.28194,-0.6817,-0.01704,0.0623,-0.02044,0.00245,0.95189,24.18382,-12.0158,-0.28299,-0.10763,0.27789,-0.16658,0.04809,-0.00557,0.74687,-23.48902,0.91665,0.08652,0.01148,-0.07465,0.04832,-0.01418,0.00165,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2024-02-09,17:29:21.25,3,1,"Wright, Jakob",1000114562,Left,CAL_MUS,"Casillas, Aaron",802003,Right,CAL_MUS,Undefined,1,Top,0,0,0,ChangeUp,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.56176,-1.15448,1.00156,2788.628651,255.815929,2:30,5.4382,-1.7224,5.34783,-35.70297,2.85299,5.9052,1.37973,-0.29074,78.51409,-7.690722,2.052142,0.446907,,,,,,,,,,,,-2.64788,2.18941,1.62779,50,5.30883,-2.45265,-125.46206,-3.85185,-4.16108,28.71949,-28.73347,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240209-BaggettStadium-Private-1,d25dcc60-c7b3-11ee-a3cd-abf24b36725c,84.34069,,,8.04768,,,,,,,6271268d-9463-439a-bf36-6001530b62df,2024-02-10,01:29:21.25,2024-02-09T17:29:21.2523886-08:00,2024-02-10T01:29:21.2523886Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,f4cef53c-4af3-4db9-9ec7-956e7d537719,55.1512,-126.63573,14.35975,5.44225,-2.67761,-14.36674,1.72455,-2.2826,-2.08054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-02-09,17:29:44.87,3,2,"Wright, Jakob",1000114562,Left,CAL_MUS,"Casillas, Aaron",802003,Right,CAL_MUS,Undefined,1,Top,0,0,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,86.49196,-2.159432,2.418423,2992.751865,281.620962,3:30,5.47719,-1.52403,5.10604,-40.28057,-0.47961,10.16382,0.08302,1.60301,77.41544,-9.474625,4.217404,0.454065,,,,,,,,,,,,-4.22087,0.91469,1.28729,50,5.24188,-5.72382,-124.93999,-6.24901,-6.44289,33.21169,-30.77785,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240209-BaggettStadium-Private-1,e06f7ba0-c7b3-11ee-a3cd-abf24b36725c,83.01105,,,9.07652,,,,,,,6271268d-9463-439a-bf36-6001530b62df,2024-02-10,01:29:44.87,2024-02-09T17:29:44.8749934-08:00,2024-02-10T01:29:44.8749934Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,f118c34c-e8d1-478d-a630-0c1323548e26,55.39347,-126.36555,16.60584,5.48176,-4.92791,-15.38893,1.52704,-5.44726,-3.22145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-02-09,17:30:24.28,3,3,"Wright, Jakob",1000114562,Left,CAL_MUS,"Casillas, Aaron",802003,Right,CAL_MUS,Undefined,1,Top,0,1,1,TwoSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.02413,-3.202198,3.079532,2409.489458,146.473997,11:00,5.38185,-1.19663,6.25219,-19.05588,13.48847,-8.12713,0.83337,0.96886,83.74159,-6.828046,1.612944,0.410591,,,,,,,,,,,,5.31091,8.44398,0.97176,50,5.13414,-6.91143,-134.65314,-8.11753,9.55677,34.66503,-16.97947,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240209-BaggettStadium-Private-1,f7eb2400-c7b3-11ee-a3cd-abf24b36725c,91.80049,,,9.28254,,,,,,,6271268d-9463-439a-bf36-6001530b62df,2024-02-10,01:30:24.28,2024-02-09T17:30:24.2815854-08:00,2024-02-10T01:30:24.2815854Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,acbc98de-2198-4268-8d10-06bc82ddd735,54.24815,-135.74238,17.33251,5.38082,-7.58401,-8.48973,1.19364,-7.21172,4.77839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-02-09,17:30:43.46,3,4,"Wright, Jakob",1000114562,Left,CAL_MUS,"Casillas, Aaron",802003,Right,CAL_MUS,Undefined,1,Top,0,2,1,ChangeUp,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,83.69895,-0.746844,1.76193,2910.301842,262.407507,2:45,5.35954,-1.52608,5.1545,-37.55419,5.0578,24.51765,1.52659,2.17623,74.34989,-7.64561,6.098307,0.469826,,,,,,,,,,,,-11.44253,3.33709,1.34194,50,5.26177,-4.8148,-120.92068,-2.93673,-16.27019,32.27446,-27.42901,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240209-BaggettStadium-Private-1,035ab120-c7b4-11ee-a3cd-abf24b36725c,80.22635,,,9.34906,,,,,,,6271268d-9463-439a-bf36-6001530b62df,2024-02-10,01:30:43.46,2024-02-09T17:30:43.4699118-08:00,2024-02-10T01:30:43.4699118Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,2ab54a96-816a-4541-bea5-fe02cf7c34a2,55.34123,-122.33798,16.13723,5.36428,-1.73222,-13.71451,1.53768,-4.10032,-8.13509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
