PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-01-31,14:47:16.81,1,1,"Sagouspe, Tanner",701693,Right,CAL_MUS,"Shimao, Tate",1000199114,Right,CAL_MUS,Undefined,1,Top,0,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.04443,-0.202044,-1.481408,2390.172737,350.97928,5:45,6.19943,1.06553,4.83036,-50.47345,-5.55737,1.08083,1.80191,-0.24766,74.49128,-9.232838,-1.290766,0.482361,,,,,,,,,,,,-0.90484,-2.34788,-0.91968,50,6.13538,2.96181,-116.27846,-2.31905,-1.2513,19.74674,-35.42094,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240131-BaggettStadium-Private-2,af4ef030-c08a-11ee-9526-557c14cae3da,78.14152,,,5.55315,,,,,,,1ec6e49e-5ede-4285-a687-6aac2fa06801,2024-01-31,22:47:16.81,2024-01-31T14:47:16.8108818-08:00,2024-01-31T22:47:16.8108818Z,,v3,471251,471251,,"Higuchi, Mackenzee",1000216589,Right,CAL_MUS,e43aec29-20ce-4b51-94fe-7f6bbab50600,55.67353,-117.23799,9.87337,6.20625,-0.59787,-17.71047,-1.06508,3.02261,-0.62565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-01-31,14:47:33.19,1,2,"Sagouspe, Tanner",701693,Right,CAL_MUS,"Shimao, Tate",1000199114,Right,CAL_MUS,Undefined,1,Top,0,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,79.06719,1.362858,-1.741686,2431.736561,14.081182,6:30,6.26489,0.98485,5.00529,-55.02814,-8.67953,-2.5452,2.96657,-0.87188,72.52863,-8.557539,-2.191428,0.489993,,,,,,,,,,,,0.75626,-4.21823,-0.81537,50,6.3511,3.59373,-114.67927,0.69118,1.00376,21.86974,-37.77274,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240131-BaggettStadium-Private-2,b912f030-c08a-11ee-9526-557c14cae3da,76.92446,,,6.53856,,,,,,,1ec6e49e-5ede-4285-a687-6aac2fa06801,2024-01-31,22:47:33.19,2024-01-31T14:47:33.1981586-08:00,2024-01-31T22:47:33.1981586Z,,v3,471251,471251,,"Higuchi, Mackenzee",1000216589,Right,CAL_MUS,c22060b0-09d8-4adc-ae1c-6630276ed8c8,55.49703,-115.72282,10.93487,6.27512,2.49358,-18.88637,-0.98571,3.54583,0.50188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-01-31,14:47:49.25,1,3,"Sagouspe, Tanner",701693,Right,CAL_MUS,"Shimao, Tate",1000199114,Right,CAL_MUS,Undefined,1,Top,0,1,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.47737,-0.078953,-1.410948,2504.585248,327.528371,5:00,6.32541,0.80402,4.68491,-60.82125,-14.75769,10.47646,1.18198,0.33698,72.94082,-10.958485,0.436197,0.488484,,,,,,,,,,,,-5.64193,-6.78555,-0.67069,50,6.26187,2.41268,-116.51958,-2.5474,-7.57964,26.54692,-41.29009,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240131-BaggettStadium-Private-2,c2a7c9e0-c08a-11ee-9526-557c14cae3da,77.16211,,,7.53655,,,,,,,1ec6e49e-5ede-4285-a687-6aac2fa06801,2024-01-31,22:47:49.25,2024-01-31T14:47:49.2589842-08:00,2024-01-31T22:47:49.2589842Z,,v3,471251,471251,,"Higuchi, Mackenzee",1000216589,Right,CAL_MUS,876ff94b-77ef-46bf-afca-c468d1815c3d,55.81767,-117.83758,13.27346,6.33745,-0.49743,-20.64504,-0.79981,2.789,-3.78982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-01-31,14:48:05.51,1,4,"Sagouspe, Tanner",701693,Right,CAL_MUS,"Shimao, Tate",1000199114,Right,CAL_MUS,Undefined,1,Top,0,1,2,FourSeamFastBall,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,90.31979,-3.036113,-2.193215,2093.002332,214.492444,1:15,6.35634,0.88356,4.98452,-18.34261,17.20375,11.02524,1.95585,-0.26984,82.6089,-6.44044,-0.248273,0.42911,101.37874,6.0265,8.406455,1556.404018,,,,122.60828,121.7811,11.944756,0.941203,-6.09579,9.71611,-0.68158,50,6.04884,4.49195,-130.79356,-7.59975,-10.56468,27.45885,-15.33499,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240131-BaggettStadium-Private-2,cc5c6090-c08a-11ee-9526-557c14cae3da,87.83856,5.13978,,7.71089,,,,1.5433,2.13985,0.2039,1ec6e49e-5ede-4285-a687-6aac2fa06801,2024-01-31,22:48:05.51,2024-01-31T14:48:05.5190290-08:00,2024-01-31T22:48:05.5190290Z,GroundBall,v3,471251,471251,,"Higuchi, Mackenzee",1000216589,Right,CAL_MUS,d4b9c26c-a09b-41a5-a95f-e160be154c5c,55.51613,-131.94653,13.72942,6.35443,-6.95585,-7.6675,-0.87951,4.93555,-5.28234,282.791435,1.67904,144.2968,-19.935,,,,,,,2.22196,14.41007,-17.90157,,,,,,,0.12978,22.71567,4.4369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2024-01-31,14:48:35.70,2,1,"Sagouspe, Tanner",701693,Right,CAL_MUS,"Stafford, Ryan",701696,Right,CAL_MUS,Undefined,1,Top,1,0,0,FourSeamFastBall,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.12249,-2.873843,-2.568224,2070.256642,228.838064,1:45,6.40099,1.00036,5.13881,-21.29265,14.89989,15.73568,1.91544,-0.10833,81.80437,-6.803215,0.215741,0.432993,,,,,,,,,,,,-8.55623,8.54052,-0.77236,50,6.11512,5.07524,-129.12926,-7.25472,-14.49739,26.00876,-17.70323,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240131-BaggettStadium-Private-2,de4e5740-c08a-11ee-9526-557c14cae3da,87.05088,,,7.31812,,,,,,,1ec6e49e-5ede-4285-a687-6aac2fa06801,2024-01-31,22:48:35.70,2024-01-31T14:48:35.7011218-08:00,2024-01-31T22:48:35.7011218Z,,v3,471251,471251,,"Higuchi, Mackenzee",1000216589,Right,CAL_MUS,b76d282f-1b9e-454a-846b-3e946b774354,55.36254,-130.20488,13.00438,6.4,-6.52258,-8.85162,-0.99465,5.6748,-7.2487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-01-31,14:48:51.06,2,2,"Sagouspe, Tanner",701693,Right,CAL_MUS,"Stafford, Ryan",701696,Right,CAL_MUS,Undefined,1,Top,1,0,1,FourSeamFastBall,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,89.85374,-3.078059,-1.624262,2008.743111,229.19213,1:45,6.32845,1.07067,4.95267,-18.82418,17.25158,18.57336,1.84733,1.08327,81.9222,-6.572195,1.652538,0.432294,63.78142,-31.753447,-23.115512,,,,,4.57323,4.57323,-29.535385,0.037054,-9.66473,9.77926,-0.92932,50,6.01478,2.80893,-130.10416,-7.67027,-16.50649,28.20834,-15.47193,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240131-BaggettStadium-Private-2,e775f030-c08a-11ee-9526-557c14cae3da,87.19169,1.83002,,7.93154,,,,1.25946,1.83002,-1.09359,1ec6e49e-5ede-4285-a687-6aac2fa06801,2024-01-31,22:48:51.06,2024-01-31T14:48:51.0686482-08:00,2024-01-31T22:48:51.0686482Z,GroundBall,v3,471251,471251,,"Higuchi, Mackenzee",1000216589,Right,CAL_MUS,f81fb0e3-47f5-4448-8d3d-429cad50ee98,55.54768,-131.30146,14.10417,6.32641,-7.01357,-7.73596,-1.06342,3.50955,-8.25325,,1.25805,73.39339,,,,,,,,1.83096,-49.38846,,,,,,,,-1.093,-31.32842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
7,2024-01-31,14:49:32.35,3,1,"Sagouspe, Tanner",701693,Right,CAL_MUS,"Cloyd, Evan",809923,Right,CAL_MUS,Undefined,1,Top,2,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.09732,0.723713,-0.898287,2393.534646,5.756023,6:15,6.26542,0.80043,4.82996,-62.30826,-14.1258,-1.58937,1.75857,-0.18281,71.36578,-10.447263,-1.179006,0.499593,,,,,,,,,,,,0.49945,-6.713,-0.70995,50,6.28307,1.84199,-113.2295,-0.9105,0.64,23.18139,-40.776,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240131-BaggettStadium-Private-2,001e7fd0-c08b-11ee-9526-557c14cae3da,75.44635,,,6.73154,,,,,,,1ec6e49e-5ede-4285-a687-6aac2fa06801,2024-01-31,22:49:32.35,2024-01-31T14:49:32.3543826-08:00,2024-01-31T22:49:32.3543826Z,,v3,471251,471251,,"Higuchi, Mackenzee",1000216589,Right,CAL_MUS,f83ac22a-3d89-4d6a-91b4-a31e65bda181,55.67326,-114.38509,11.59069,6.2778,1.12218,-20.388,-0.80098,1.81009,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-01-31,14:49:49.27,3,2,"Sagouspe, Tanner",701693,Right,CAL_MUS,"Cloyd, Evan",809923,Right,CAL_MUS,Undefined,1,Top,2,0,1,Curveball,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,79.44612,0.858029,-1.699273,2420.727868,340.20771,5:15,6.24911,1.11694,4.92435,-60.89511,-14.5128,5.78851,1.98611,-0.00764,72.55196,-10.08034,-0.675838,0.490171,82.22849,-28.484549,-25.730286,,,,,5.87557,5.73542,-16.287354,0.03638,-3.41229,-7.08063,-0.95643,50,6.2812,3.17589,-115.18581,-0.56209,-4.52775,23.86354,-41.56931,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240131-BaggettStadium-Private-2,0a3051b0-c08b-11ee-9526-557c14cae3da,76.89649,2.09705,,6.89416,,,,2.15819,2.09705,0.03001,1ec6e49e-5ede-4285-a687-6aac2fa06801,2024-01-31,22:49:49.27,2024-01-31T14:49:49.2711698-08:00,2024-01-31T22:49:49.2711698Z,GroundBall,v3,471251,471251,,"Higuchi, Mackenzee",1000216589,Right,CAL_MUS,c7b92688-8f79-490b-82d3-e310a81f1ee1,55.57965,-116.33602,11.93177,6.26,1.44154,-20.78466,-1.11477,3.39412,-2.26387,180,2.15697,95.70033,,,,,,,,2.09779,-57.64308,,,,,,,,0.03059,-46.11978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
9,2024-01-31,14:52:48.55,1,1,"Tomlinson, Evan",1000093903,Right,CAL_MUS,"Steels, Jacob",1000117532,Right,CAL_MUS,Undefined,1,Bottom,0,0,0,TwoSeamFastBall,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.78243,-1.588279,-2.13069,1808.083736,256.50615,2:30,5.94738,1.84099,5.60028,-32.03423,6.34437,21.41832,1.79364,1.63572,78.79447,-7.473157,1.696761,0.445878,,,,,,,,,,,,-11.45646,4.01744,-1.67265,50,5.79042,3.7368,-124.52595,-4.57336,-17.9951,24.92748,-25.8637,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240131-BaggettStadium-Private-2,75101740-c08b-11ee-9526-557c14cae3da,84.53533,,,6.98796,,,,,,,1ec6e49e-5ede-4285-a687-6aac2fa06801,2024-01-31,22:52:48.55,2024-01-31T14:52:48.5551890-08:00,2024-01-31T22:52:48.5551890Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,3e5e69e7-ccba-4ba5-bf47-228a9461fd1f,54.90202,-125.5034,12.46374,5.94986,-3.5592,-12.93185,-1.83301,4.44241,-8.99755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-01-31,14:53:02.56,1,2,"Tomlinson, Evan",1000093903,Right,CAL_MUS,"Steels, Jacob",1000117532,Right,CAL_MUS,Undefined,1,Bottom,0,1,0,Slider,Curveball,InPlay,Undefined,Popup,Double,0,0,,77.26059,-1.013487,-1.657972,1867.636899,177.673474,12:00,5.66572,2.10041,5.2043,-37.1225,9.88709,-0.35425,1.61848,0.51111,72.54582,-7.734512,-1.720776,0.493474,86.83559,25.152027,11.080067,4039.189578,105.75531,41.13783,30.26222,230.04908,228.3548,23.187394,3.532014,-0.17374,5.50969,-1.9466,50,5.54348,3.26574,-112.36272,-3.22233,-0.22723,15.94953,-24.96753,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240131-BaggettStadium-Private-2,7d6d0d30-c08b-11ee-9526-557c14cae3da,76.38175,44.39504,,4.71477,,,,2.41883,1.82391,-0.552,1ec6e49e-5ede-4285-a687-6aac2fa06801,2024-01-31,22:53:02.56,2024-01-31T14:53:02.5630994-08:00,2024-01-31T22:53:02.5630994Z,LineDrive,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,4b4abb2b-7d1c-4927-9dac-9402c991eebd,55.29903,-113.11241,7.97476,5.66736,-2.04878,-12.48377,-2.10035,3.27643,-0.11362,228.740927,2.41832,113.1498,-27.99824,6.87049,-1.7228,0.42937,-0.09505,0.01341,-0.0008,1.82422,54.12082,-18.92931,1.0507,0.13212,-0.12249,0.0382,-0.00538,0.00026,-0.55215,22.16038,6.42199,-3.75871,1.25337,-0.3028,0.05228,-0.00563,0.00028,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
