PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-02-03,09:12:20.23,1,1,"Baum, Ryan",809938,Right,CAL_MUS,"Steels, Jacob",1000117532,Right,CAL_MUS,Undefined,1,Top,0,0,0,Slider,Slider,InPlay,Undefined,LineDrive,Double,0,0,,81.7318,-0.856767,-0.965959,2019.389483,88.158909,9:00,5.86689,1.00706,5.47239,-41.48254,1.1348,-7.25571,1.60804,-0.50164,74.99644,-8.424586,-2.260235,0.469856,101.11739,22.564839,-9.317548,1360.219157,108.29271,39.65796,-19.30318,342.59771,342.59771,-12.76438,3.841475,3.41028,1.17595,-0.91694,50,5.76305,2.28935,-118.6512,-3.20708,4.83894,23.68862,-30.50549,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240203-BaggettStadium-Private-1,63a622a0-c2b7-11ee-8d9e-370102e6b192,80.22128,52.18067,,6.73537,,,,3.2865,1.93877,0.41219,6112003c-73fe-419b-a7d6-a163c8dda902,2024-02-03,17:12:20.23,2024-02-03T09:12:20.2353958-08:00,2024-02-03T17:12:20.2353958Z,FlyBall,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,d20cb015-d8ee-4369-8aa5-785767c94c33,55.02939,-119.6511,11.84431,5.87124,-1.91944,-15.25275,-1.00926,2.0851,2.41947,156.118681,3.2867,135.14079,-25.45715,6.20272,-1.32004,0.22858,-0.02714,0.00153,1E-05,1.93859,56.91169,-17.47165,0.89307,-0.12218,0.04817,-0.01928,0.0041,-0.00033,0.41212,-22.1699,0.01432,0.53968,-0.23645,0.07087,-0.01538,0.00212,-0.00013,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2024-02-03,09:13:06.49,2,1,"Baum, Ryan",809938,Right,CAL_MUS,"Shimao, Tate",1000199114,Right,CAL_MUS,Undefined,1,Top,0,0,0,TwoSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.03568,-3.361835,-3.793013,2140.947857,242.394987,2:00,5.97308,1.162,6.21955,-26.49915,10.93036,18.10536,0.65216,-0.8345,78.20801,-8.349091,-0.526763,0.44033,,,,,,,,,,,,-10.63571,7.24713,-0.88613,50,5.70763,7.60348,-125.79188,-8.20644,-16.65523,30.9108,-20.82529,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240203-BaggettStadium-Private-1,7f3864b0-c2b7-11ee-8d9e-370102e6b192,85.6004,,,8.82767,,,,,,,6112003c-73fe-419b-a7d6-a163c8dda902,2024-02-03,17:13:06.49,2024-02-03T09:13:06.4993062-08:00,2024-02-03T17:13:06.4993062Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,d2797884-a8a5-4d21-a5bc-719e29da41fc,54.27816,-126.8388,15.4554,5.97363,-7.50111,-10.41264,-1.1532,8.16758,-8.32761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-02-03,09:13:24.14,2,2,"Baum, Ryan",809938,Right,CAL_MUS,"Shimao, Tate",1000199114,Right,CAL_MUS,Undefined,1,Top,0,1,0,TwoSeamFastBall,Changeup,InPlay,Undefined,Bunt,Single,0,0,,86.22719,-1.632164,-3.080443,2168.017325,234.716578,1:45,5.90982,1.14993,6.56379,-23.80265,13.36481,16.99402,2.42735,-0.26073,77.92493,-6.170755,0.005778,0.438786,30.07076,-10.369056,-20.458546,,,,,16.81581,13.81559,-15.037815,0.167014,-9.97489,7.93418,-0.94455,50,5.78714,6.10462,-125.08313,-4.21303,-15.56298,28.80823,-19.795,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240203-BaggettStadium-Private-1,89b2bc60-c2b7-11ee-8d9e-370102e6b192,85.9016,1.76679,,8.30227,,,,,,,6112003c-73fe-419b-a7d6-a163c8dda902,2024-02-03,17:13:24.14,2024-02-03T09:13:24.1401126-08:00,2024-02-03T17:13:24.1401126Z,GroundBall,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,273530b7-17df-4c94-a136-13594d5fcd57,53.93678,-125.98656,14.40411,5.90953,-3.59226,-9.8975,-1.14364,6.59267,-7.78149,276.398371,9.51989,40.64914,-2.46895,,,,,,,1.76699,-7.95384,-15.73646,,,,,,,-1.94874,-15.16112,4.2273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2024-02-03,09:14:09.59,3,1,"Baum, Ryan",809938,Right,CAL_MUS,"Yorke, Joe",1000079666,Right,CAL_MUS,Undefined,1,Top,0,0,0,TwoSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.25145,-1.625992,-1.600794,2062.174888,223.891035,1:30,6.00506,1.49466,6.27378,-20.17788,17.56477,15.5204,2.82367,1.31195,77.42963,-5.506888,1.205039,0.442168,,,,,,,,,,,,-8.56571,10.06894,-1.38337,50,5.87499,2.87508,-125.06271,-4.08221,-13.28125,30.16189,-16.56205,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240203-BaggettStadium-Private-1,a4cd5d70-c2b7-11ee-8d9e-370102e6b192,85.24457,,,8.82183,,,,,,,6112003c-73fe-419b-a7d6-a163c8dda902,2024-02-03,17:14:09.59,2024-02-03T09:14:09.5994150-08:00,2024-02-03T17:14:09.5994150Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,00695ca9-b253-44dd-a8cb-d1b4046385af,54.2236,-126.07722,15.08094,6.00293,-3.52514,-8.28103,-1.48759,3.3218,-6.64063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-02-03,09:14:29.03,3,2,"Baum, Ryan",809938,Right,CAL_MUS,"Yorke, Joe",1000079666,Right,CAL_MUS,Undefined,1,Top,0,1,0,TwoSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,86.42905,-2.051521,-0.688487,2059.131884,229.025718,1:45,6.03618,1.44608,6.15689,-21.16769,16.62308,17.48288,2.37589,2.26687,77.63348,-6.094301,2.466528,0.44245,,,,,,,,,,,,-9.24516,9.70241,-1.40238,50,5.86956,0.79781,-125.30074,-5.07459,-14.3725,30.54693,-17.0907,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240203-BaggettStadium-Private-1,b062e920-c2b7-11ee-8d9e-370102e6b192,85.19028,,,8.79557,,,,,,,6112003c-73fe-419b-a7d6-a163c8dda902,2024-02-03,17:14:29.03,2024-02-03T09:14:29.0399526-08:00,2024-02-03T17:14:29.0399526Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,843488d5-d462-4a3f-97f6-bfa2019c008c,54.34077,-126.35454,15.27347,6.03445,-4.485,-8.54535,-1.43845,1.29363,-7.18625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-02-03,09:14:45.96,3,3,"Baum, Ryan",809938,Right,CAL_MUS,"Yorke, Joe",1000079666,Right,CAL_MUS,Undefined,1,Top,0,2,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.96012,-2.703151,-3.039317,1574.006667,252.261499,2:30,6.00944,1.51462,6.13026,-34.55695,8.22918,21.0306,0.62566,0.45513,73.81778,-9.11985,0.756004,0.470785,,,,,,,,,,,,-11.98709,5.48863,-1.29357,50,5.78439,5.47916,-117.35141,-6.56929,-16.5152,24.69659,-24.61211,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240203-BaggettStadium-Private-1,ba7a8760-c2b7-11ee-8d9e-370102e6b192,80.06292,,,7.14234,,,,,,,6112003c-73fe-419b-a7d6-a163c8dda902,2024-02-03,17:14:45.96,2024-02-03T09:14:45.9621670-08:00,2024-02-03T17:14:45.9621670Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,ca69bf32-03df-47d2-8091-c90436162ea9,54.37244,-118.26801,12.3483,6.01125,-5.65583,-12.30605,-1.5083,6.09212,-8.2576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-02-03,09:15:04.42,3,4,"Baum, Ryan",809938,Right,CAL_MUS,"Yorke, Joe",1000079666,Right,CAL_MUS,Undefined,1,Top,0,3,0,ChangeUp,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,80.0346,-1.304039,-2.700295,1574.559658,245.507975,2:15,6.04342,1.51097,6.00927,-33.44147,10.29024,19.3408,2.04694,0.61913,73.02587,-7.532193,0.779431,0.475959,77.94551,35.345767,-17.727911,4802.026837,100.74502,60.52032,-44.16331,252.48605,249.53688,-31.54874,4.313344,-10.89564,6.0887,-1.30989,50,5.9225,4.77961,-116.14409,-3.63515,-14.76604,23.34697,-23.92248,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240203-BaggettStadium-Private-1,c57f44c0-c2b7-11ee-8d9e-370102e6b192,79.19261,65.71909,,7.00873,,,,3.46681,2.3447,-0.58448,6112003c-73fe-419b-a7d6-a163c8dda902,2024-02-03,17:15:04.42,2024-02-03T09:15:04.4299046-08:00,2024-02-03T17:15:04.4299046Z,FlyBall,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,8b21b21f-a659-46d9-9054-0fd3a5f58276,54.49312,-117.0438,11.67349,6.04482,-2.71326,-11.96124,-1.50505,5.34864,-7.38302,139.985895,3.46796,88.79702,-19.33931,4.62909,-0.97609,0.20472,-0.04966,0.00889,-0.00065,2.34546,66.11108,-19.00644,0.76651,0.31909,-0.24186,0.07896,-0.01221,0.00072,-0.58502,-28.37973,-3.43595,1.99977,-0.73211,0.21258,-0.04544,0.00572,-0.0003,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
8,2024-02-03,09:15:50.07,4,1,"Baum, Ryan",809938,Right,CAL_MUS,"Casillas, Aaron",802003,Right,CAL_MUS,Undefined,1,Top,1,0,0,TwoSeamFastBall,Sinker,InPlay,Undefined,LineDrive,Sacrifice,1,1,,87.31056,-1.427474,-2.219357,2001.532502,229.141425,1:45,6.05265,1.46755,6.39159,-20.27119,16.16024,17.1741,3.04916,0.85636,78.85919,-5.313841,0.891299,0.43442,89.12015,16.82005,-15.468876,806.103755,105.45455,28.40457,-31.29399,289.96966,280.05646,-17.843149,3.170294,-9.71847,9.2763,-1.31573,50,5.94063,4.25005,-126.71258,-3.70486,-15.56779,29.45322,-17.31451,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240203-BaggettStadium-Private-1,e0b16570-c2b7-11ee-8d9e-370102e6b192,86.76504,32.0708,,8.45137,,,,2.0321,3.07446,-0.82781,6112003c-73fe-419b-a7d6-a163c8dda902,2024-02-03,17:15:50.07,2024-02-03T09:15:50.0778278-08:00,2024-02-03T17:15:50.0778278Z,LineDrive,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,d2999ebb-8ced-49d7-ad94-f2f9c42fa77c,54.10867,-127.66403,14.72661,6.05128,-3.14553,-8.65726,-1.46114,4.75295,-7.78389,166.395612,2.03215,120.5814,-19.36033,4.34579,-0.67327,0.01368,0.0281,-0.00743,0.00067,3.07438,37.82935,-12.07014,-0.18849,-0.16108,0.20917,-0.08882,0.01846,-0.00154,-0.82783,-33.37008,2.90303,-0.5413,0.07759,-0.00538,-0.00141,0.00056,-6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,2024-02-03,09:17:01.66,5,1,"Baum, Ryan",809938,Right,CAL_MUS,"King, Wyatt",809925,Right,CAL_MUS,Undefined,1,Top,2,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.96223,-2.251989,-2.936084,2104.446356,162.873055,11:30,5.99777,1.33033,5.77236,-35.22695,7.4978,-1.91736,0.96266,-1.56416,74.95798,-8.702317,-3.279253,0.470448,,,,,,,,,,,,0.20748,4.81504,-1.08625,50,5.78991,6.09671,-117.44182,-5.75277,0.29125,21.16745,-25.41448,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240203-BaggettStadium-Private-1,0b5eb070-c2b8-11ee-8d9e-370102e6b192,80.12038,,,6.00425,,,,,,,6112003c-73fe-419b-a7d6-a163c8dda902,2024-02-03,17:17:01.66,2024-02-03T09:17:01.6672038-08:00,2024-02-03T17:17:01.6672038Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,30b21e94-f656-41b3-90ff-52c80dfb3e46,54.72848,-118.291,10.58373,6.00024,-4.73321,-12.70724,-1.33059,6.08502,0.14563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-02-03,09:17:19.59,5,2,"Baum, Ryan",809938,Right,CAL_MUS,"King, Wyatt",809925,Right,CAL_MUS,Undefined,1,Top,2,1,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.23877,-0.952162,-2.404256,1631.559264,219.598418,1:15,6.08148,1.39798,6.20901,-28.28927,14.66631,10.98524,2.84436,0.09304,73.41125,-6.272639,-0.421767,0.471717,,,,,,,,,,,,-6.36335,8.29012,-1.22275,50,5.99574,4.49008,-116.50485,-2.7205,-8.73137,22.23171,-20.7989,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240203-BaggettStadium-Private-1,161303e0-c2b8-11ee-8d9e-370102e6b192,79.90483,,,6.82752,,,,,,,6112003c-73fe-419b-a7d6-a163c8dda902,2024-02-03,17:17:19.59,2024-02-03T09:17:19.5917094-08:00,2024-02-03T17:17:19.5917094Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,9206dea8-83cb-4f6b-8bc3-8b580b361d7a,54.29043,-117.3207,11.11585,6.08157,-1.95723,-10.39945,-1.39341,4.8105,-4.36569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
