PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2/2/2024,14:15.7,1,1,"Brooks, Steven",1000114564,Right,CAL_MUS,"Garza, Alejandro",1000279234,Right,CAL_MUS,Undefined,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,0,0,,89.67599,-2.263566,-3.388029,2155.030981,210.583733,1:00,5.64506,2.1263,6.34113,-14.2465,20.40777,11.32591,2.36911,-0.05277,80.98744,-5.046136,-1.342999,0.423692,99.40741,19.33594,9.009181,3152.883889,107.88512,35.14554,21.46461,348.05696,348.05696,16.153773,3.884063,-7.033,11.74886,-1.885,50,5.47338,7.25018,-129.95975,-5.48957,-11.86768,30.6255,-12.34865,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240202-BaggettStadium-Private-2,048f27a0-c210-11ee-b62e-c523358491c5,88.96197,46.64074,,8.68855,,,,2.93911,2.55231,0.01288,65eba8f7-99e9-4db3-ac76-b451f471ff14,2/2/2024,14:15.7,2024-02-02T13:14:15.7270000-08:00,2024-02-02T21:14:15.7270000Z,LineDrive,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,58fc6975-bd7c-49c5-b9b1-c03805b906b1,54.15958,-130.9363,15.31275,5.64215,-5.09581,-6.17432,-2.12221,7.6286,-5.93384,214.058374,2.93858,135.89226,-25.47654,6.09455,-1.40663,0.31918,-0.06371,0.00846,-0.00049,2.55293,48.25528,-12.95896,-0.69996,0.55063,-0.19989,0.04653,-0.00557,0.00024,0.01284,21.54187,4.12894,-2.11401,0.67059,-0.15676,0.02665,-0.00285,0.00014,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2/2/2024,15:22.6,1,2,"Brooks, Steven",1000114564,Right,CAL_MUS,"Garza, Alejandro",1000279234,Right,CAL_MUS,Undefined,1,Top,0,0,0,Undefined,Slider,Undefined,Undefined,Undefined,Undefined,0,0,,81.77436,-1.043373,-3.634007,2446.676781,142.732544,10:45,5.68841,2.27607,5.83567,-34.24285,7.5643,-4.81233,1.86298,-1.50728,75.52503,-7.340213,-4.49408,0.465368,,,,,,,,,,,,1.5041,4.52449,-1.97642,50,5.58288,7.71748,-118.61697,-3.25633,2.15255,21.73372,-25.69889,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240202-BaggettStadium-Private-2,2c73b5b0-c210-11ee-b62e-c523358491c5,80.99487,,,6.24933,,,,,,,65eba8f7-99e9-4db3-ac76-b451f471ff14,2/2/2024,15:22.6,2024-02-02T13:15:22.5770000-08:00,2024-02-02T21:15:22.5770000Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,feeca063-02b0-4885-a605-b47a23c4432e,54.66532,-119.46872,10.86686,5.69076,-2.24918,-12.84945,-2.27722,7.63312,1.07628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2/2/2024,16:01.8,1,3,"Brooks, Steven",1000114564,Right,CAL_MUS,"Garza, Alejandro",1000279234,Right,CAL_MUS,Undefined,1,Top,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,73.93767,-0.268937,-0.993432,2309.737179,86.443401,9:00,5.57674,2.26735,5.58215,-51.91479,0.69378,-19.36403,0.9993,-0.2742,67.24646,-9.768568,-4.454778,0.522035,,,,,,,,,,,,9.55453,0.9187,-2.16866,50,5.51971,2.55408,-107.22903,-2.09563,10.8949,22.10749,-31.12646,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240202-BaggettStadium-Private-2,43d59480-c210-11ee-b62e-c523358491c5,72.20289,,,6.69121,,,,,,,65eba8f7-99e9-4db3-ac76-b451f471ff14,2/2/2024,16:01.8,2024-02-02T13:16:01.7970000-08:00,2024-02-02T21:16:01.7970000Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,708eb949-e73d-4881-8ff1-dc447119d65f,54.91923,-108.23848,11.05374,5.58295,-0.67437,-15.56323,-2.27392,2.0566,5.44745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2/2/2024,16:22.6,1,4,"Brooks, Steven",1000114564,Right,CAL_MUS,"Garza, Alejandro",1000279234,Right,CAL_MUS,Undefined,1,Top,0,0,0,Undefined,Slider,Undefined,Undefined,Undefined,Undefined,0,0,,82.67422,-1.648865,-3.139174,2449.775742,143.802002,10:45,5.65999,2.27551,5.83974,-34.70711,6.39603,-3.73327,1.23252,-0.95614,76.00947,-8.032382,-3.807593,0.461433,,,,,,,,,,,,1.03665,4.09744,-2.01718,50,5.50483,6.71834,-119.90492,-4.57364,1.50613,23.62546,-26.22101,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240202-BaggettStadium-Private-2,502d10a0-c210-11ee-b62e-c523358491c5,81.68556,,,6.66475,,,,,,,65eba8f7-99e9-4db3-ac76-b451f471ff14,2/2/2024,16:22.6,2024-02-02T13:16:22.5930000-08:00,2024-02-02T21:16:22.5930000Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,6e3e6633-6875-4af0-91fb-12e9de936e4d,54.66182,-120.81996,11.81273,5.66231,-3.55806,-13.11051,-2.27626,6.66001,0.75307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2/2/2024,16:43.0,1,5,"Brooks, Steven",1000114564,Right,CAL_MUS,"Garza, Alejandro",1000279234,Right,CAL_MUS,Undefined,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,0,0,,89.95759,-2.754658,-4.297277,2216.175852,206.717846,1:00,5.61336,2.22004,6.48991,-12.89032,21.68674,10.24839,2.0011,-0.87856,80.67175,-5.311495,-2.445344,0.423219,74.0859,16.837076,155.753506,3841.823876,,,,,58.81515,,,-6.8004,12.64489,-1.92222,50,5.41351,9.36481,-130.0931,-6.53689,-11.42271,32.3466,-10.93427,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240202-BaggettStadium-Private-2,5c5b32d0-c210-11ee-b62e-c523358491c5,89.06124,13.72904,,9.28584,,,,1.35458,2.03608,0.93065,65eba8f7-99e9-4db3-ac76-b451f471ff14,2/2/2024,16:43.0,2024-02-02T13:16:43.0080000-08:00,2024-02-02T21:16:43.0080000Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,04e9651f-41dd-4c40-aded-f0b51a4c90c8,54.00799,-131.08586,16.1733,5.60899,-6.2013,-5.46714,-2.21502,9.71539,-5.71135,288.174828,1.35458,-94.82693,7.77173,0.07656,-0.05964,0.15878,-0.29053,0.30866,-0.13278,2.03608,31.47329,-21.77079,2.62847,-0.60939,0.67751,-1.21103,1.28028,-0.54201,0.93065,42.70948,-12.94735,1.52086,-0.4391,0.61357,-1.19021,1.26733,-0.53533,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2/2/2024,17:03.9,1,6,"Brooks, Steven",1000114564,Right,CAL_MUS,"Garza, Alejandro",1000279234,Right,CAL_MUS,Undefined,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,0,0,,89.77406,-2.154763,-2.728858,2176.570509,207.992628,1:00,5.57449,2.20477,6.46523,-16.67103,17.50202,8.68918,2.20289,0.42051,81.62939,-5.364114,-1.154515,0.420739,94.71171,11.458522,0.271481,1496.399414,109.82823,13.24646,6.1448,197.16198,197.16198,5.722617,1.770018,-5.39268,10.16516,-2.01584,50,5.41465,5.87384,-130.27457,-5.34,-9.20175,29.18247,-14.82889,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240202-BaggettStadium-Private-2,68cdff20-c210-11ee-b62e-c523358491c5,89.58619,13.3175,,8.14467,,,,2.23874,2.32756,-0.44473,65eba8f7-99e9-4db3-ac76-b451f471ff14,2/2/2024,17:03.9,2024-02-02T13:17:03.9220000-08:00,2024-02-02T21:17:03.9220000Z,LineDrive,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,fb23df04-a576-42c1-9102-1f2e86d66ec8,54.03544,-131.17543,14.59123,5.57243,-4.88224,-7.41445,-2.20155,6.15789,-4.60088,260.478275,2.23875,136.13885,-19.55561,3.38608,-0.5246,0.02834,0.0038,0.00083,-0.00044,2.32755,27.59678,-18.37529,1.52255,-0.35779,0.1481,-0.05421,0.01236,-0.00119,-0.44477,0.64975,9.95297,-3.06567,0.39092,0.20724,-0.13516,0.03242,-0.00284,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2/2/2024,17:51.3,1,7,"Brooks, Steven",1000114564,Right,CAL_MUS,"Garza, Alejandro",1000279234,Right,CAL_MUS,Undefined,1,Top,0,0,0,Undefined,Slider,Undefined,Undefined,Undefined,Undefined,0,0,,83.30664,-0.83766,-2.518888,2362.951503,164.214,11:30,5.54313,2.19256,6.06445,-31.03352,9.15504,-2.21843,2.18094,-0.32504,76.14025,-6.618151,-2.9179,0.456271,81.03344,4.26492,-4.23298,2126.766732,,,,114.52312,114.52312,-0.758128,1.066748,0.41138,5.35075,-1.99588,50,5.46152,5.40346,-120.90667,-2.72205,0.60593,24.65701,-24.29249,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240202-BaggettStadium-Private-2,8517d160-c210-11ee-b62e-c523358491c5,82.6098,6.85852,,7.16639,,,,,,,65eba8f7-99e9-4db3-ac76-b451f471ff14,2/2/2024,17:51.3,2024-02-02T13:17:51.3150000-08:00,2024-02-02T21:17:51.3150000Z,GroundBall,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,b6f8603c-0548-4421-b793-efaca1b11663,54.43555,-121.80787,12.3285,5.54479,-1.83417,-12.14624,-2.19297,5.38131,0.30296,239.402303,0.2998,117.3028,-9.65149,,,,,,,5.41797,8.55217,-12.79807,,,,,,,1.46711,-8.06438,4.98082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2/2/2024,14:15.7,1,8,"Brooks, Steven",1000114564,Right,CAL_MUS,"Garza, Alejandro",1000279234,Right,CAL_MUS,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,InPlay,Undefined,LineDrive,Double,0,0,,89.67599,-2.263566,-3.388029,2155.030981,210.583733,1:00,5.64506,2.1263,6.34113,-14.2465,20.40777,11.32591,2.36911,-0.05277,80.98744,-5.046136,-1.342999,0.423692,99.40741,19.33594,9.009181,3152.883889,107.88512,35.14554,21.46461,348.05696,348.05696,16.153773,3.884063,-7.033,11.74886,-1.885,50,5.47338,7.25018,-129.95975,-5.48957,-11.86768,30.6255,-12.34865,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240202-BaggettStadium-Private-2,05040980-c210-11ee-a886-6577fa19e1d9,88.96197,46.64074,,8.68855,,,,2.93911,2.55231,0.01288,65eba8f7-99e9-4db3-ac76-b451f471ff14,2/2/2024,14:15.7,2024-02-02T13:14:15.7270000-08:00,2024-02-02T21:14:15.7270000Z,LineDrive,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,58fc6975-bd7c-49c5-b9b1-c03805b906b1,54.15958,-130.9363,15.31275,5.64215,-5.09581,-6.17432,-2.12221,7.6286,-5.93384,214.058374,2.93858,135.89226,-25.47654,6.09455,-1.40663,0.31918,-0.06371,0.00846,-0.00049,2.55293,48.25528,-12.95896,-0.69996,0.55063,-0.19989,0.04653,-0.00557,0.00024,0.01284,21.54187,4.12894,-2.11401,0.67059,-0.15676,0.02665,-0.00285,0.00014,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2/2/2024,15:22.6,2,1,"Brooks, Steven",1000114564,Right,CAL_MUS,"Murray, Casey",1000127521,Right,CAL_MUS,Undefined,1,Top,0,0,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.77436,-1.043373,-3.634007,2446.676781,142.732544,10:45,5.68841,2.27607,5.83567,-34.24285,7.5643,-4.81233,1.86298,-1.50728,75.52503,-7.340213,-4.49408,0.465368,,,,,,,,,,,,1.5041,4.52449,-1.97642,50,5.58288,7.71748,-118.61697,-3.25633,2.15255,21.73372,-25.69889,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240202-BaggettStadium-Private-2,2ce87080-c210-11ee-a886-6577fa19e1d9,80.99487,,,6.24933,,,,,,,65eba8f7-99e9-4db3-ac76-b451f471ff14,2/2/2024,15:22.6,2024-02-02T13:15:22.5770000-08:00,2024-02-02T21:15:22.5770000Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,feeca063-02b0-4885-a605-b47a23c4432e,54.66532,-119.46872,10.86686,5.69076,-2.24918,-12.84945,-2.27722,7.63312,1.07628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2/2/2024,16:01.8,2,2,"Brooks, Steven",1000114564,Right,CAL_MUS,"Murray, Casey",1000127521,Right,CAL_MUS,Undefined,1,Top,0,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.93767,-0.268937,-0.993432,2309.737179,86.443401,9:00,5.57674,2.26735,5.58215,-51.91479,0.69378,-19.36403,0.9993,-0.2742,67.24646,-9.768568,-4.454778,0.522035,,,,,,,,,,,,9.55453,0.9187,-2.16866,50,5.51971,2.55408,-107.22903,-2.09563,10.8949,22.10749,-31.12646,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240202-BaggettStadium-Private-2,444a0130-c210-11ee-a886-6577fa19e1d9,72.20289,,,6.69121,,,,,,,65eba8f7-99e9-4db3-ac76-b451f471ff14,2/2/2024,16:01.8,2024-02-02T13:16:01.7970000-08:00,2024-02-02T21:16:01.7970000Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,708eb949-e73d-4881-8ff1-dc447119d65f,54.91923,-108.23848,11.05374,5.58295,-0.67437,-15.56323,-2.27392,2.0566,5.44745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
