PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-01-27,12:08:18.05,1,1,"Baum, Ryan",809938,Right,CAL_MUS,"Fenn, Ryan",809917,Right,CAL_MUS,Undefined,1,Top,0,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,74.66548,1.67138,-0.266852,1908.210052,45.93332,7:30,6.08261,1.32131,5.50341,-60.72511,-9.73449,-11.71934,2.58587,0.09511,68.63945,-9.369613,-2.359434,0.513945,,,,,,,,,,,,5.84288,-4.93028,-1.28985,50,6.18748,0.93903,-108.44143,1.18546,6.92315,19.8384,-38.0159,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240127-BaggettStadium-Private-1,d01cd2c0-bd4f-11ee-85ec-43989f5d123e,73.33946,,,6.02603,,,,,,,f47c060d-e71b-4020-8424-3fc5ba82434b,2024-01-27,20:08:18.05,2024-01-27T12:08:18.0500000-08:00,2024-01-27T20:08:18.0500000Z,,v3,471251,471251,,"Firestone, Owen",809936,Right,CAL_MUS,fb69859a-f44f-49a4-b48f-f4458f2f0dee,55.00065,-109.35243,9.9192,6.09296,2.93118,-19.00795,-1.32567,0.62111,3.46158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-01-27,12:08:48.20,1,2,"Baum, Ryan",809938,Right,CAL_MUS,"Fenn, Ryan",809917,Right,CAL_MUS,Undefined,1,Top,0,0,1,FourSeamFastBall,Sinker,InPlay,Undefined,GroundBall,Error,0,0,,88.27995,-2.308077,-2.609765,2045.094488,246.797538,2:15,5.93478,1.25457,6.21424,-28.48395,7.65737,14.70316,1.42767,0.06966,79.56525,-7.647497,0.0465,0.432686,90.91931,-10.209691,-35.044963,,,,,11.27586,9.84566,-25.41311,0.066029,-8.53315,5.12764,-1.06611,50,5.74745,5.24068,-127.90924,-6.06083,-13.8473,31.42217,-23.85309,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240127-BaggettStadium-Private-1,e21001f0-bd4f-11ee-85ec-43989f5d123e,87.11258,1.5625,,8.7147,,,,3.08205,1.5625,0.14275,f47c060d-e71b-4020-8424-3fc5ba82434b,2024-01-27,20:08:48.20,2024-01-27T12:08:48.2040000-08:00,2024-01-27T20:08:48.2040000Z,GroundBall,v3,471251,471251,,"Firestone, Owen",809936,Right,CAL_MUS,82315ac9-0145-4fe8-ac49-979a482a68a2,54.28526,-128.95766,15.71108,5.93639,-5.26496,-11.92655,-1.24868,5.7027,-6.92365,180,3.08071,107.56976,,,,,,,,1.5628,-23.66386,,,,,,,,0.14369,-75.44703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
3,2024-01-27,12:09:27.84,2,1,"Baum, Ryan",809938,Right,CAL_MUS,"Stafford, Ryan",701696,Right,CAL_MUS,Undefined,1,Top,0,0,0,FourSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.11244,-3.883822,-2.757202,2153.861247,231.157556,1:45,5.9136,1.36482,6.31233,-22.65348,13.22989,14.56457,0.43849,0.03671,79.35748,-8.194933,-0.122253,0.43114,,,,,,,,,,,,-8.60493,8.75626,-1.16936,50,5.6178,5.60583,-128.75355,-9.40479,-13.97053,34.90008,-17.95777,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240127-BaggettStadium-Private-1,f9b1a8e0-bd4f-11ee-85ec-43989f5d123e,87.4251,,,9.75495,,,,,,,f47c060d-e71b-4020-8424-3fc5ba82434b,2024-01-27,20:09:27.84,2024-01-27T12:09:27.8410000-08:00,2024-01-27T20:09:27.8410000Z,,v3,471251,471251,,"Firestone, Owen",809936,Right,CAL_MUS,5be3a5af-982f-40a5-9097-4c8ea0402ed1,54.18447,-129.88285,17.45004,5.91271,-8.82372,-8.97888,-1.35806,6.05789,-6.98527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.24118,,,,,,,-0.22071,5.97175,0.80031,,,,-0.14627,112.12885,-10.37564,5.98025,5.04501,-11.3435,0.78584,-0.97099,1.53738,High,High,High,,,High,High,High
4,2024-01-27,12:09:54.55,2,2,"Baum, Ryan",809938,Right,CAL_MUS,"Stafford, Ryan",701696,Right,CAL_MUS,Undefined,1,Top,0,1,0,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Single,0,0,,83.07362,-2.697595,-2.794184,1549.709604,240.070964,2:00,6.0073,1.2904,6.23285,-31.40868,8.51658,12.66154,0.89642,-0.23432,76.67275,-8.52102,-0.505981,0.454774,99.89003,5.929598,16.608957,2386.688608,102.62816,3.32215,39.59097,139.06879,135.33839,22.353704,1.12111,-7.3628,5.51339,-1.08799,50,5.78993,5.42208,-120.5734,-6.62916,-10.87306,22.75249,-24.03215,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240127-BaggettStadium-Private-1,09a0a3a0-bd50-11ee-85ec-43989f5d123e,82.88174,4.80445,,6.40087,,,,1.40752,0.93522,0.2097,f47c060d-e71b-4020-8424-3fc5ba82434b,2024-01-27,20:09:54.55,2024-01-27T12:09:54.5520000-08:00,2024-01-27T20:09:54.5520000Z,GroundBall,v3,471251,471251,,"Firestone, Owen",809936,Right,CAL_MUS,e7a84cf1-9c55-49ae-b7f8-856340a4f8e0,54.2692,-121.37633,11.37624,6.0089,-5.78107,-12.01607,-1.28611,5.80579,-5.43653,256.818431,1.67861,136.29142,-20.76268,,,,,,,0.98884,14.48363,-13.745,,,,,,,0.07342,43.37968,3.41927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2024-01-27,12:10:40.50,3,1,"Baum, Ryan",809938,Right,CAL_MUS,"Casillas, Aaron",802003,Right,CAL_MUS,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,86.55151,-1.750429,-2.374161,2127.058628,210.141395,1:00,5.9862,1.31112,6.22764,-20.11907,17.10225,9.17355,2.69269,-0.1162,78.42689,-5.591956,-0.718564,0.439104,99.31463,23.018234,-3.759831,1845.550431,109.907,43.57169,-4.52108,358.29125,355.07572,1.720869,4.37765,-5.51252,9.80087,-1.13815,50,5.84529,4.84773,-125.55132,-4.39145,-8.70194,28.03664,-16.70263,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240127-BaggettStadium-Private-1,251dd710-bd50-11ee-85ec-43989f5d123e,85.83945,61.02205,,8.12462,,,,2.41819,2.8099,0.10838,f47c060d-e71b-4020-8424-3fc5ba82434b,2024-01-27,20:10:40.50,2024-01-27T12:10:40.5040000-08:00,2024-01-27T20:10:40.5040000Z,LineDrive,v3,471251,471251,,"Firestone, Owen",809936,Right,CAL_MUS,ca44c65c-ed6e-451e-b48c-700e2010bb9e,54.27189,-126.50167,14.01832,5.98455,-3.82529,-8.35131,-1.30747,5.1427,-4.35097,195.290541,2.41815,133.77432,-25.05685,5.92642,-1.32391,0.2846,-0.05058,0.00567,-0.00028,2.80947,56.96847,-14.89332,0.54526,-0.00526,-0.03801,0.01344,-0.00175,7E-05,0.10869,-8.79834,4.93779,-1.05458,0.23407,-0.05219,0.00938,-0.00101,4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2024-01-27,12:11:22.20,4,1,"Baum, Ryan",809938,Right,CAL_MUS,"Kordic, Dylan",1000123535,Left,CAL_MUS,Undefined,1,Top,1,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.95564,-4.375654,-2.527039,2243.585206,134.900871,10:30,5.9927,1.33749,5.70774,-40.20203,3.01717,-1.6687,-1.4463,-1.1576,75.05543,-11.641726,-2.826261,0.473162,,,,,,,,,,,,0.1524,3.04756,-1.1245,50,5.59946,5.23334,-117.20785,-10.27495,0.2115,22.62076,-27.94421,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240127-BaggettStadium-Private-1,3dcf4050-bd50-11ee-85ec-43989f5d123e,79.66078,,,5.90021,,,,,,,f47c060d-e71b-4020-8424-3fc5ba82434b,2024-01-27,20:11:22.20,2024-01-27T12:11:22.2050000-08:00,2024-01-27T20:11:22.2050000Z,,v3,471251,471251,,"Firestone, Owen",809936,Right,CAL_MUS,8a5c2e71-a8f3-4a91-8453-81f8b22ac08d,54.7962,-118.12988,11.31038,5.99506,-9.13594,-13.97211,-1.33764,5.22471,0.10575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-01-27,12:11:50.69,4,2,"Baum, Ryan",809938,Right,CAL_MUS,"Kordic, Dylan",1000123535,Left,CAL_MUS,Undefined,1,Top,1,1,0,FourSeamFastBall,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,87.56767,-2.420077,-2.961765,2083.778307,211.304416,1:00,5.97362,1.27308,6.22897,-20.79615,15.55875,8.69654,2.00345,-0.73725,79.55633,-6.366411,-1.393117,0.433963,103.97542,12.955133,18.828297,1209.19784,103.37128,22.5968,37.60803,316.95213,303.1008,23.880684,3.027692,-5.44256,9.18745,-1.056,50,5.7822,6.22831,-126.94385,-5.96472,-8.79971,28.2092,-17.31949,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240127-BaggettStadium-Private-1,4ed52950-bd50-11ee-85ec-43989f5d123e,86.8563,27.57694,,8.01134,,,,2.74952,2.2147,0.69801,f47c060d-e71b-4020-8424-3fc5ba82434b,2024-01-27,20:11:50.69,2024-01-27T12:11:50.6990000-08:00,2024-01-27T20:11:50.6990000Z,LineDrive,v3,471251,471251,,"Firestone, Owen",809936,Right,CAL_MUS,6c8455d7-f14b-4a4e-b885-291395a770cb,54.27126,-127.88948,14.1046,5.97241,-5.38414,-8.65974,-1.26973,6.52329,-4.39985,199.623106,2.74938,140.66788,-25.8812,5.79813,-1.17112,0.20821,-0.02846,0.00218,-3E-05,2.21507,34.17472,-10.90486,-0.77977,0.33444,-0.05906,-0.00369,0.00396,-0.0005,0.69778,47.9714,-4.79901,1.85395,-0.51265,0.09885,-0.00774,-0.00123,0.00024,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2024-01-27,12:12:28.45,5,1,"Baum, Ryan",809938,Right,CAL_MUS,"Shimao, Tate",1000199114,Right,CAL_MUS,Undefined,1,Top,2,0,0,Curveball,Curveball,InPlay,Undefined,FlyBall,Out,1,0,,75.07759,1.586961,-1.00762,1921.66781,47.932722,7:30,6.09836,1.38086,5.27111,-62.55543,-11.24406,-14.38095,2.37673,-0.76415,68.5674,-9.743403,-3.563578,0.515559,96.43394,22.23931,17.990216,3410.310795,100.63979,37.33142,44.40149,309.06839,300.30791,33.35365,3.4851,6.92012,-5.71327,-1.27756,50,6.1969,2.46137,-108.90718,0.91211,8.19652,21.59076,-38.94109,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240127-BaggettStadium-Private-1,65600910-bd50-11ee-85ec-43989f5d123e,73.10987,43.99176,,6.51019,,,,1.96461,2.5001,0.74334,f47c060d-e71b-4020-8424-3fc5ba82434b,2024-01-27,20:12:28.45,2024-01-27T12:12:28.4520000-08:00,2024-01-27T20:12:28.4520000Z,LineDrive,v3,471251,471251,,"Firestone, Owen",809936,Right,CAL_MUS,85371914-0e62-4b84-9627-6c8cbb030adb,55.2329,-109.9397,10.79538,6.10875,2.77437,-19.47055,-1.38589,2.0694,4.09826,242.349449,1.96425,124.5254,-27.59449,6.96088,-1.6859,0.38984,-0.07875,0.01017,-0.00052,2.50027,53.52537,-18.71714,0.78625,0.20589,-0.11425,0.02685,-0.00235,0,0.74323,40.43783,8.55914,-4.22586,1.36318,-0.32724,0.05656,-0.0059,0.00027,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,2024-01-27,12:13:01.60,6,1,"Baum, Ryan",809938,Right,CAL_MUS,"Murray, Casey",1000127521,Right,CAL_MUS,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.26572,-1.603376,-2.937536,2039.747959,203.270997,12:45,6.03165,1.31279,6.20948,-16.27233,18.82442,7.55981,3.19343,-0.77086,80.65152,-4.746527,-1.575214,0.426388,,,,,,,,,,,,-4.78906,10.57579,-1.09563,50,5.90277,6.32015,-129.37192,-4.04202,-8.02359,29.87493,-14.45539,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240127-BaggettStadium-Private-1,791310b0-bd50-11ee-85ec-43989f5d123e,88.39942,,,8.6142,,,,,,,f47c060d-e71b-4020-8424-3fc5ba82434b,2024-01-27,20:13:01.60,2024-01-27T12:13:01.6040000-08:00,2024-01-27T20:13:01.6040000Z,,v3,471251,471251,,"Firestone, Owen",809936,Right,CAL_MUS,0bd7b05b-6e18-4a0c-ba30-7043449aabb5,54.28717,-130.35817,14.93747,6.02833,-3.56481,-7.22769,-1.30864,6.58503,-4.01179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-01-27,12:13:17.18,6,2,"Baum, Ryan",809938,Right,CAL_MUS,"Murray, Casey",1000127521,Right,CAL_MUS,Undefined,1,Top,0,0,1,FourSeamFastBall,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,89.30202,-2.206783,-2.721393,2153.498022,217.08723,1:15,5.98064,1.3377,6.25359,-20.91525,14.29087,9.81382,2.19931,-0.35604,80.4188,-6.190897,-0.949551,0.427052,100.77695,-4.51727,-0.21065,,,,,21.81301,17.78467,0.595322,0.143252,-5.98922,8.52079,-1.14009,50,5.80629,5.74894,-129.38224,-5.59611,-9.9695,31.52457,-17.99052,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20240127-BaggettStadium-Private-1,82642aa0-bd50-11ee-85ec-43989f5d123e,88.26202,2.14216,,8.88322,,,,1.21503,2.14216,0.34767,f47c060d-e71b-4020-8424-3fc5ba82434b,2024-01-27,20:13:17.18,2024-01-27T12:13:17.1890000-08:00,2024-01-27T20:13:17.1890000Z,GroundBall,v3,471251,471251,,"Firestone, Owen",809936,Right,CAL_MUS,5d89a52a-2bb5-489f-a620-adbbfe524181,54.24453,-130.41234,15.76228,5.97955,-5.00825,-8.99526,-1.33326,6.0747,-4.98475,13.397316,1.21559,147.29412,-24.58441,,,,,,,2.14273,-11.69334,-22.81821,,,,,,,0.34776,-0.55,-2.06715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
